Size,Stranding,Material,DIAM,GMR,RES,Capacity
"556,500",26/7,ACSR,0.927,0.0313,0.1859,730
"556,500",30/7,ACSR,0.953,0.0328,0.1859,730
"556,500",CLASS A,AA,0.858,0.0275,0.186,560
"600,000",37 STRD,Copper,0.891,0.0285,0.1095,940
"600,000",CON LAY,AA,0.891,0.0285,0.172,520
"605,000",26/7,ACSR,0.966,0.0327,0.172,760
"605,000",54/7,ACSR,0.953,0.0321,0.1775,750
"636,000",27/7,ACSR,0.99,0.0335,0.1618,780
"636,000",30/19,ACSR,1.019,0.0351,0.1618,780
"636,000",54/7,ACSR,0.977,0.0329,0.1688,770
"636,000",CLASS A,AA,0.918,0.0294,0.163,620
"666,600",54/7,ACSR,1,0.0337,0.1601,800
"700,000",37 STRD,Copper,0.963,0.0308,0.0947,1040
"700,000",CON LAY,AA,0.963,0.0308,0.148,580
"715,500",26/7,ACSR,1.051,0.0355,0.1442,840
"715,500",30/19,ACSR,1.081,0.0372,0.1442,840
"715,500",54/7,ACSR,1.036,0.0349,0.1482,830
"715,500",CLASS A,AA,0.974,0.0312,0.145,680
"750,000",37 STRD,AA,0.997,0.0319,0.0888,1090
"750,000",CON LAY,AA,0.997,0.0319,0.139,602
"795,000",26/7,ACSR,1.108,0.0375,0.1288,900
"795,000",30/19,ACSR,1.14,0.0393,0.1288,910
"795,000",54/7,ACSR,1.093,0.0368,0.1378,900
"795,000",CLASS A,AA,1.026,0.0328,0.131,720
